Entry,Name,Species,Instance,Nature,Item,Move 1,Move 2,Move 3,Move 4,Move 1 Class,Move 2 Class,Move 3 Class,Move 4 Class,Possible Ability,Lv 100 speed,Lv 50 Speed,Attack,Defense,Support,Attack_50,Defense_50,Support_50,CONTAINS_ATK,ATK_COUNT,CONTAINS_DEF,DEF_COUNT,CONTAINS_SPT,SPT_COUNT,ALL3,NumClasses,R_ATK,R_DEF,NOMOVE,R_ATK_50,R_DEF_50,NOMOVE_50,AI_ATK,AI_DEF,AI_SPT,AI_ATK_50,AI_DEF_50,AI_SPT_50
442,Venusaur 1,Venusaur,1,Quiet,Chesto Berry,Giga Drain,Sunny Day,Synthesis,Sleep Powder,Giga Drain ATK,Sunny Day DEF,Synthesis DEF,Sleep Powder SPT,Overgrow,176,90,0.56,0.22,0.22,0.56,0.22,0.22,1,1,1,2,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
443,Vaporeon 1,Vaporeon,1,Modest,Mystic Water,Surf,Roar,Bite,Quick Attack,Surf ATK,Roar SPT,Bite ATK,Quick Attack ATK,Water Absorb,166,85,0.35,0.45,0.2,0.34,0.6,0.06,1,3,0,0,1,1,0,2,0.225,0,0.225,0.3,0,0.3,0.35,0,0.2,0.34,0,0.06
444,Jolteon 1,Jolteon,1,Modest,Cheri Berry,Thunderbolt,Thunder Wave,Attract,Protect,Thunderbolt ATK,Thunder Wave SPT,Attract SPT,Protect DEF,Volt Absorb,359,182,0.35,0.45,0.2,0.34,0.6,0.06,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0.35,0.45,0.2,0.34,0.6,0.06
445,Flareon 1,Flareon,1,Modest,Sitrus Berry,Flamethrower,Roar,Bite,Sand-Attack,Flamethrower ATK,Roar SPT,Bite ATK,Sand-Attack SPT,Flash Fire,166,85,0.35,0.45,0.2,0.34,0.6,0.06,1,2,0,0,1,2,0,2,0.225,0,0.225,0.3,0,0.3,0.35,0,0.2,0.34,0,0.06
446,Meganium 1,Meganium,1,Modest,BrightPowder,SolarBeam,Sunny Day,Light Screen,Synthesis,SolarBeam ATK,Sunny Day DEF,Light Screen DEF,Synthesis DEF,Overgrow,196,100,0.35,0.45,0.2,0.34,0.6,0.06,1,1,1,3,0,0,0,2,0,0.1,0.1,0,0.03,0.03,0.35,0.45,0,0.34,0.6,0
447,Espeon 1,Espeon,1,Modest,Lum Berry,Psychic,Charm,Calm Mind,Baton Pass,Psychic ATK,Charm SPT,Calm Mind DEF,Baton Pass DEF,Synchronize,298,151,0.35,0.45,0.2,0.34,0.6,0.06,1,1,1,2,1,1,1,3,0,0,0,0,0,0,0.35,0.45,0.2,0.34,0.6,0.06
448,Umbreon 1,Umbreon,1,Bold,BrightPowder,Confuse Ray,Faint Attack,Double Team,Baton Pass,Confuse Ray SPT,Faint Attack ATK,Double Team DEF,Baton Pass DEF,Synchronize,166,85,0.3,0.2,0.5,0.32,0.58,0.1,1,1,1,2,1,1,1,3,0,0,0,0,0,0,0.3,0.2,0.5,0.32,0.58,0.1
449,Blastoise 1,Blastoise,1,Modest,Shell Bell,Hydro Pump,Rain Dance,Bite,Seismic Toss,Hydro Pump ATK,Rain Dance DEF,Bite ATK,Seismic Toss ATK,Torrent,192,98,0.35,0.45,0.2,0.34,0.6,0.06,1,3,1,1,0,0,0,2,0.1,0,0.1,0.03,0,0.03,0.35,0.45,0,0.34,0.6,0
450,Feraligatr 1,Feraligatr,1,Quiet,Lum Berry,Surf,Rain Dance,Aerial Ace,Roar,Surf ATK,Rain Dance DEF,Aerial Ace ATK,Roar SPT,Torrent,172,88,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
451,Aggron 1,Aggron,1,Adamant,Quick Claw,Iron Tail,Earthquake,Aerial Ace,Roar,Iron Tail ATK,Earthquake ATK,Aerial Ace ATK,Roar SPT,Sturdy / Rock Head,136,70,0.38,0.31,0.31,0.7,0.15,0.15,1,3,0,0,1,1,0,2,0.155,0,0.155,0.075,0,0.075,0.38,0,0.31,0.7,0,0.15
452,Blaziken 1,Blaziken,1,Docile,Quick Claw,Flamethrower,Sunny Day,Double Kick,Roar,Flamethrower ATK,Sunny Day DEF,Double Kick ATK,Roar SPT,Blaze,196,100,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
453,Walrein 1,Walrein,1,Quiet,Leftovers,Blizzard,Hail,Yawn,Protect,Blizzard ATK,Hail DEF,Yawn SPT,Protect DEF,Thick Fat,149,76,0.56,0.22,0.22,0.56,0.22,0.22,1,1,1,2,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
454,Sceptile 1,Sceptile,1,Modest,Leftovers,Leaf Blade,Leech Seed,Aerial Ace,Detect,Leaf Blade ATK,Leech Seed SPT,Aerial Ace ATK,Detect DEF,Overgrow,339,172,0.35,0.45,0.2,0.34,0.6,0.06,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.35,0.45,0.2,0.34,0.6,0.06
455,Charizard 1,Charizard,1,Modest,Focus Band,Fire Blast,Sunny Day,Roar,Scary Face,Fire Blast ATK,Sunny Day DEF,Roar SPT,Scary Face SPT,Blaze,299,152,0.35,0.45,0.2,0.34,0.6,0.06,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0.35,0.45,0.2,0.34,0.6,0.06
456,Typhlosion 1,Typhlosion,1,Modest,Focus Band,Fire Blast,Sunny Day,SmokeScreen,Roar,Fire Blast ATK,Sunny Day DEF,SmokeScreen SPT,Roar SPT,Blaze,299,152,0.35,0.45,0.2,0.34,0.6,0.06,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0.35,0.45,0.2,0.34,0.6,0.06
457,Lapras 1,Lapras,1,Bold,Leftovers,Surf,Attract,Confuse Ray,Sing,Surf ATK,Attract SPT,Confuse Ray SPT,Sing SPT,Water Absorb / Shell Armor,156,80,0.3,0.2,0.5,0.32,0.58,0.1,1,1,0,0,1,3,0,2,0.1,0,0.1,0.29,0,0.29,0.3,0,0.5,0.32,0,0.1
458,Crobat 1,Crobat,1,Quirky,King's Rock,Sludge Bomb,Bite,Astonish,Screech,Sludge Bomb ATK,Bite ATK,Astonish ATK,Screech SPT,Inner Focus,296,150,0.56,0.22,0.22,0.56,0.22,0.22,1,3,0,0,1,1,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
459,Swampert 1,Swampert,1,Adamant,Lum Berry,Earthquake,Counter,Rest,Curse,Earthquake ATK,Counter SPT,Rest DEF,Curse SPT,Torrent,156,80,0.38,0.31,0.31,0.7,0.15,0.15,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0.38,0.31,0.31,0.7,0.15,0.15
460,Gyarados 1,Gyarados,1,Careful,Lum Berry,Return,Bite,Thunder Wave,Dragon Dance,Return ATK,Bite ATK,Thunder Wave SPT,Dragon Dance DEF,Intimidate,198,101,0.42,0.5,0.08,0.42,0.05,0.53,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.42,0.5,0.08,0.42,0.05,0.53
461,Snorlax 1,Snorlax,1,Adamant,Leftovers,Facade,Shadow Ball,Attract,Double Team,Facade ATK,Shadow Ball ATK,Attract SPT,Double Team DEF,Immunity / Thick Fat,96,50,0.38,0.31,0.31,0.7,0.15,0.15,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.38,0.31,0.31,0.7,0.15,0.15
462,Kingdra 1,Kingdra,1,Modest,Lum Berry,Hydro Pump,DragonBreath,Icy Wind,Attract,Hydro Pump ATK,DragonBreath ATK,Icy Wind ATK,Attract SPT,Swift Swim,206,105,0.35,0.45,0.2,0.34,0.6,0.06,1,3,0,0,1,1,0,2,0.225,0,0.225,0.3,0,0.3,0.35,0,0.2,0.34,0,0.06
463,Blissey 1,Blissey,1,Bold,BrightPowder,Toxic,Double Team,Sing,Softboiled,Toxic SPT,Double Team DEF,Sing SPT,Softboiled DEF,Natural Cure / Serene Grace,146,75,0.3,0.2,0.5,0.32,0.58,0.1,0,0,1,2,1,2,0,2,0,0.15,0.15,0,0.16,0.16,0,0.2,0.5,0,0.58,0.1
464,Milotic 1,Milotic,1,Modest,Lum Berry,Hydro Pump,Icy Wind,Recover,Mirror Coat,Hydro Pump ATK,Icy Wind ATK,Recover DEF,Mirror Coat SPT,Marvel Scale,198,101,0.35,0.45,0.2,0.34,0.6,0.06,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.35,0.45,0.2,0.34,0.6,0.06
465,Arcanine 1,Arcanine,1,Adamant,King's Rock,Flamethrower,ExtremeSpeed,Crunch,Body Slam,Flamethrower ATK,ExtremeSpeed ATK,Crunch ATK,Body Slam ATK,Intimidate / Flash Fire,289,147,0.38,0.31,0.31,0.7,0.15,0.15,1,4,0,0,0,0,0,1,0.31,0,0.31,0.15,0,0.15,0.38,0,0,0.7,0,0
466,Salamence 1,Salamence,1,Hardy,King's Rock,Dragon Claw,Aerial Ace,Headbutt,Rock Slide,Dragon Claw ATK,Aerial Ace ATK,Headbutt ATK,Rock Slide ATK,Intimidate,299,152,0.61,0.07,0.32,0.61,0.07,0.32,1,4,0,0,0,0,0,1,0.195,0,0.195,0.195,0,0.195,0.61,0,0,0.61,0,0
467,Metagross 1,Metagross,1,Adamant,Leftovers,Meteor Mash,Aerial Ace,Facade,Light Screen,Meteor Mash ATK,Aerial Ace ATK,Facade ATK,Light Screen DEF,Clear Body,218,111,0.38,0.31,0.31,0.7,0.15,0.15,1,3,1,1,0,0,0,2,0.155,0,0.155,0.075,0,0.075,0.38,0.31,0,0.7,0.15,0
468,Slaking 1,Slaking,1,Adamant,Scope Lens,Yawn,Bulk Up,Swagger,Aerial Ace,Yawn SPT,Bulk Up DEF,Swagger SPT,Aerial Ace ATK,Truant,236,120,0.38,0.31,0.31,0.7,0.15,0.15,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0.38,0.31,0.31,0.7,0.15,0.15
469,Dugtrio 2,Dugtrio,2,Adamant,King's Rock,Earthquake,AncientPower,Aerial Ace,Tri Attack,Earthquake ATK,AncientPower ATK,Aerial Ace ATK,Tri Attack ATK,Sand Veil / Arena Trap,339,172,0.38,0.31,0.31,0.7,0.15,0.15,1,4,0,0,0,0,0,1,0.31,0,0.31,0.15,0,0.15,0.38,0,0,0.7,0,0
470,Medicham 2,Medicham,2,Hardy,Salac Berry,Reversal,Endure,Psychic,Fake Out,Reversal ATK,Endure DEF,Psychic ATK,Fake Out ATK,Pure Power,259,132,0.61,0.07,0.32,0.61,0.07,0.32,1,3,1,1,0,0,0,2,0.16,0,0.16,0.16,0,0.16,0.61,0.07,0,0.61,0.07,0
471,Marowak 2,Marowak,2,Adamant,Thick Club,Earthquake,Rock Slide,Swords Dance,Icy Wind,Earthquake ATK,Rock Slide ATK,Swords Dance DEF,Icy Wind ATK,Rock Head / Lightningrod,189,97,0.38,0.31,0.31,0.7,0.15,0.15,1,3,1,1,0,0,0,2,0.155,0,0.155,0.075,0,0.075,0.38,0.31,0,0.7,0.15,0
472,Quagsire 2,Quagsire,2,Sassy,Leftovers,Curse,Attract,Yawn,AncientPower,Curse SPT,Attract SPT,Yawn SPT,AncientPower ATK,Damp / Water Absorb,95,49,0.88,0.06,0.06,0.22,0.2,0.58,1,1,0,0,1,3,0,2,0.03,0,0.03,0.1,0,0.1,0.88,0,0.06,0.22,0,0.58
473,Misdreavus 2,Misdreavus,2,Bold,Leftovers,Psychic,Attract,Thunder Wave,Confuse Ray,Psychic ATK,Attract SPT,Thunder Wave SPT,Confuse Ray SPT,Levitate,206,105,0.3,0.2,0.5,0.32,0.58,0.1,1,1,0,0,1,3,0,2,0.1,0,0.1,0.29,0,0.29,0.3,0,0.5,0.32,0,0.1
474,Fearow 2,Fearow,2,Adamant,Focus Band,Drill Peck,Tri Attack,Attract,Pursuit,Drill Peck ATK,Tri Attack ATK,Attract SPT,Pursuit ATK,Keen Eye,299,152,0.38,0.31,0.31,0.7,0.15,0.15,1,3,0,0,1,1,0,2,0.155,0,0.155,0.075,0,0.075,0.38,0,0.31,0.7,0,0.15
475,Granbull 2,Granbull,2,Quiet,White Herb,Overheat,Thunderbolt,Ice Punch,Facade,Overheat ATK,Thunderbolt ATK,Ice Punch ATK,Facade ATK,Intimidate,113,58,0.56,0.22,0.22,0.56,0.22,0.22,1,4,0,0,0,0,0,1,0.22,0,0.22,0.22,0,0.22,0.56,0,0,0.56,0,0
476,Jynx 2,Jynx,2,Impish,BrightPowder,Perish Song,Mean Look,Lovely Kiss,Protect,Perish Song DEF,Mean Look SPT,Lovely Kiss SPT,Protect DEF,Oblivious,226,115,0.69,0.06,0.25,0.28,0.55,0.17,0,0,1,2,1,2,0,2,0,0.345,0.345,0,0.14,0.14,0,0.06,0.25,0,0.55,0.17
477,Dusclops 2,Dusclops,2,Impish,Leftovers,Toxic,Confuse Ray,Double Team,Protect,Toxic SPT,Confuse Ray SPT,Double Team DEF,Protect DEF,Pressure,86,45,0.69,0.06,0.25,0.28,0.55,0.17,0,0,1,2,1,2,0,2,0,0.345,0.345,0,0.14,0.14,0,0.06,0.25,0,0.55,0.17
478,Dodrio 2,Dodrio,2,Adamant,King's Rock,Drill Peck,Double-Edge,Faint Attack,Protect,Drill Peck ATK,Double-Edge ATK,Faint Attack ATK,Protect DEF,Run Away / Early Bird,299,152,0.38,0.31,0.31,0.7,0.15,0.15,1,3,1,1,0,0,0,2,0.155,0,0.155,0.075,0,0.075,0.38,0.31,0,0.7,0.15,0
479,Mrmime 2,Mrmime,2,Adamant,Liechi Berry,Baton Pass,Swagger,Psych Up,Psychic,Baton Pass DEF,Swagger SPT,Psych Up SPT,Psychic ATK,Soundproof,216,110,0.38,0.31,0.31,0.7,0.15,0.15,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0.38,0.31,0.31,0.7,0.15,0.15
480,Lanturn 2,Lanturn,2,Docile,Salac Berry,Flail,Endure,Thunderbolt,Surf,Flail ATK,Endure DEF,Thunderbolt ATK,Surf ATK,Volt Absorb / Illuminate,170,87,0.56,0.22,0.22,0.56,0.22,0.22,1,3,1,1,0,0,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0.22,0,0.56,0.22,0
481,Breloom 2,Breloom,2,Docile,BrightPowder,Giga Drain,Leech Seed,Focus Punch,Spore,Giga Drain ATK,Leech Seed SPT,Focus Punch ATK,Spore SPT,Effect Spore,239,122,0.56,0.22,0.22,0.56,0.22,0.22,1,2,0,0,1,2,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
482,Forretress 2,Forretress,2,Adamant,Lum Berry,Earthquake,Double-Edge,Counter,Protect,Earthquake ATK,Double-Edge ATK,Counter SPT,Protect DEF,Sturdy,116,60,0.38,0.31,0.31,0.7,0.15,0.15,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.38,0.31,0.31,0.7,0.15,0.15
483,Skarmory 2,Skarmory,2,Careful,BrightPowder,Spikes,Roar,Drill Peck,Toxic,Spikes SPT,Roar SPT,Drill Peck ATK,Toxic SPT,Keen Eye / Sturdy,176,90,0.42,0.5,0.08,0.42,0.05,0.53,1,1,0,0,1,3,0,2,0.25,0,0.25,0.025,0,0.025,0.42,0,0.08,0.42,0,0.53
484,Whiscash 2,Whiscash,2,Hardy,Shell Bell,Surf,Earthquake,Spark,Future Sight,Surf ATK,Earthquake ATK,Spark ATK,Future Sight ATK,Oblivious,156,80,0.61,0.07,0.32,0.61,0.07,0.32,1,4,0,0,0,0,0,1,0.195,0,0.195,0.195,0,0.195,0.61,0,0,0.61,0,0
485,Xatu 2,Xatu,2,Impish,Leftovers,Fly,Toxic,Confuse Ray,Attract,Fly ATK,Toxic SPT,Confuse Ray SPT,Attract SPT,Synchronize / Early Bird,226,115,0.69,0.06,0.25,0.28,0.55,0.17,1,1,0,0,1,3,0,2,0.03,0,0.03,0.275,0,0.275,0.69,0,0.25,0.28,0,0.17
486,Clefable 2,Clefable,2,Adamant,Focus Band,Meteor Mash,Cosmic Power,Double Team,Follow Me,Meteor Mash ATK,Cosmic Power DEF,Double Team DEF,Follow Me DEF,Cute Charm,156,80,0.38,0.31,0.31,0.7,0.15,0.15,1,1,1,3,0,0,0,2,0,0.155,0.155,0,0.075,0.075,0.38,0.31,0,0.7,0.15,0
487,Hariyama 2,Hariyama,2,Quiet,Quick Claw,Cross Chop,Fire Punch,Ice Punch,ThunderPunch,Cross Chop ATK,Fire Punch ATK,Ice Punch ATK,ThunderPunch ATK,Thick Fat / Guts,122,63,0.56,0.22,0.22,0.56,0.22,0.22,1,4,0,0,0,0,0,1,0.22,0,0.22,0.22,0,0.22,0.56,0,0,0.56,0,0
488,Raichu 2,Raichu,2,Adamant,Lum Berry,Thunderbolt,Reversal,Endure,Agility,Thunderbolt ATK,Reversal ATK,Endure DEF,Agility DEF,Static,299,152,0.38,0.31,0.31,0.7,0.15,0.15,1,2,1,2,0,0,0,2,0.0775,0.0775,0.155,0.0375,0.0375,0.075,0.38,0.31,0,0.7,0.15,0
489,Dewgong 2,Dewgong,2,Docile,Shell Bell,Blizzard,Double-Edge,Encore,Disable,Blizzard ATK,Double-Edge ATK,Encore SPT,Disable SPT,Thick Fat,176,90,0.56,0.22,0.22,0.56,0.22,0.22,1,2,0,0,1,2,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
490,Manectric 2,Manectric,2,Modest,Petaya Berry,Thunder,Rain Dance,Crunch,Roar,Thunder ATK,Rain Dance DEF,Crunch ATK,Roar SPT,Static / Lightningrod,309,157,0.35,0.45,0.2,0.34,0.6,0.06,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.35,0.45,0.2,0.34,0.6,0.06
491,Vileplume 2,Vileplume,2,Bold,BrightPowder,Ingrain,Double Team,Toxic,Giga Drain,Ingrain DEF,Double Team DEF,Toxic SPT,Giga Drain ATK,Chlorophyll,136,70,0.3,0.2,0.5,0.32,0.58,0.1,1,1,1,2,1,1,1,3,0,0,0,0,0,0,0.3,0.2,0.5,0.32,0.58,0.1
492,Victreebel 2,Victreebel,2,Serious,Leftovers,Giga Drain,Sludge Bomb,Sleep Powder,Attract,Giga Drain ATK,Sludge Bomb ATK,Sleep Powder SPT,Attract SPT,Chlorophyll,176,90,0.34,0.11,0.55,0.29,0.11,0.6,1,2,0,0,1,2,0,2,0.055,0,0.055,0.055,0,0.055,0.34,0,0.55,0.29,0,0.6
493,Electrode 2,Electrode,2,Modest,BrightPowder,Thunder,Rain Dance,Double Team,Swagger,Thunder ATK,Rain Dance DEF,Double Team DEF,Swagger SPT,Soundproof / Static,316,160,0.35,0.45,0.2,0.34,0.6,0.06,1,1,1,2,1,1,1,3,0,0,0,0,0,0,0.35,0.45,0.2,0.34,0.6,0.06
494,Exploud 2,Exploud,2,Quirky,Focus Band,SolarBeam,Sunny Day,Earthquake,Counter,SolarBeam ATK,Sunny Day DEF,Earthquake ATK,Counter SPT,Soundproof,172,88,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
495,Shiftry 2,Shiftry,2,Impish,Chesto Berry,Leech Seed,Dig,Double Team,Rest,Leech Seed SPT,Dig ATK,Double Team DEF,Rest DEF,Chlorophyll / Early Bird,196,100,0.69,0.06,0.25,0.28,0.55,0.17,1,1,1,2,1,1,1,3,0,0,0,0,0,0,0.69,0.06,0.25,0.28,0.55,0.17
496,Glalie 2,Glalie,2,Quirky,Salac Berry,Explosion,Endure,Body Slam,Icy Wind,Explosion ATK,Endure DEF,Body Slam ATK,Icy Wind ATK,Inner Focus,259,132,0.56,0.22,0.22,0.56,0.22,0.22,1,3,1,1,0,0,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0.22,0,0.56,0.22,0
497,Ludicolo 2,Ludicolo,2,Modest,Shell Bell,Surf,Ice Beam,ThunderPunch,Fire Punch,Surf ATK,Ice Beam ATK,ThunderPunch ATK,Fire Punch ATK,Swift Swim / Rain Dish,176,90,0.35,0.45,0.2,0.34,0.6,0.06,1,4,0,0,0,0,0,1,0.325,0,0.325,0.33,0,0.33,0.35,0,0,0.34,0,0
498,Hypno 2,Hypno,2,Modest,TwistedSpoon,Hypnosis,Nightmare,Dream Eater,Psychic,Hypnosis SPT,Nightmare SPT,Dream Eater ATK,Psychic ATK,Insomnia,170,87,0.35,0.45,0.2,0.34,0.6,0.06,1,2,0,0,1,2,0,2,0.225,0,0.225,0.3,0,0.3,0.35,0,0.2,0.34,0,0.06
499,Golem 2,Golem,2,Adamant,Chesto Berry,Focus Punch,Substitute,Double Team,Rest,Focus Punch ATK,Substitute DEF,Double Team DEF,Rest DEF,Rock Head / Sturdy,126,65,0.38,0.31,0.31,0.7,0.15,0.15,1,1,1,3,0,0,0,2,0,0.155,0.155,0,0.075,0.075,0.38,0.31,0,0.7,0.15,0
500,Rhydon 2,Rhydon,2,Adamant,Quick Claw,Earthquake,Horn Drill,Rock Slide,Brick Break,Earthquake ATK,Horn Drill ATK,Rock Slide ATK,Brick Break ATK,Lightningrod / Rock Head,116,60,0.38,0.31,0.31,0.7,0.15,0.15,1,4,0,0,0,0,0,1,0.31,0,0.31,0.15,0,0.15,0.38,0,0,0.7,0,0
501,Alakazam 2,Alakazam,2,Modest,Lum Berry,Psychic,Calm Mind,Thunder Wave,Recover,Psychic ATK,Calm Mind DEF,Thunder Wave SPT,Recover DEF,Synchronize / Inner Focus,276,140,0.35,0.45,0.2,0.34,0.6,0.06,1,1,1,2,1,1,1,3,0,0,0,0,0,0,0.35,0.45,0.2,0.34,0.6,0.06
502,Weezing 2,Weezing,2,Adamant,Sitrus Berry,Memento,Sludge Bomb,Facade,Destiny Bond,Memento SPT,Sludge Bomb ATK,Facade ATK,Destiny Bond DEF,Levitate,156,80,0.38,0.31,0.31,0.7,0.15,0.15,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.38,0.31,0.31,0.7,0.15,0.15
503,Kangaskhan 2,Kangaskhan,2,Adamant,Lum Berry,Crush Claw,Shadow Ball,Attract,Rest,Crush Claw ATK,Shadow Ball ATK,Attract SPT,Rest DEF,Early Bird,216,110,0.38,0.31,0.31,0.7,0.15,0.15,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.38,0.31,0.31,0.7,0.15,0.15
504,Electabuzz 2,Electabuzz,2,Quirky,Leftovers,Thunder,Rain Dance,Attract,Focus Punch,Thunder ATK,Rain Dance DEF,Attract SPT,Focus Punch ATK,Static,288,146,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
505,Tauros 2,Tauros,2,Adamant,Chesto Berry,Double-Edge,Earthquake,Double Team,Rest,Double-Edge ATK,Earthquake ATK,Double Team DEF,Rest DEF,Intimidate,256,130,0.38,0.31,0.31,0.7,0.15,0.15,1,2,1,2,0,0,0,2,0.0775,0.0775,0.155,0.0375,0.0375,0.075,0.38,0.31,0,0.7,0.15,0
506,Slowbro 2,Slowbro,2,Modest,Leftovers,Surf,Ice Beam,Calm Mind,Yawn,Surf ATK,Ice Beam ATK,Calm Mind DEF,Yawn SPT,Oblivious / Own Tempo,96,50,0.35,0.45,0.2,0.34,0.6,0.06,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.35,0.45,0.2,0.34,0.6,0.06
507,Slowking 2,Slowking,2,Modest,Shell Bell,Yawn,Thunder Wave,Surf,Psychic,Yawn SPT,Thunder Wave SPT,Surf ATK,Psychic ATK,Oblivious / Own Tempo,96,50,0.35,0.45,0.2,0.34,0.6,0.06,1,2,0,0,1,2,0,2,0.225,0,0.225,0.3,0,0.3,0.35,0,0.2,0.34,0,0.06
508,Miltank 2,Miltank,2,Careful,Leftovers,Focus Punch,Shadow Ball,Attract,Thunder Wave,Focus Punch ATK,Shadow Ball ATK,Attract SPT,Thunder Wave SPT,Thick Fat,236,120,0.42,0.5,0.08,0.42,0.05,0.53,1,2,0,0,1,2,0,2,0.25,0,0.25,0.025,0,0.025,0.42,0,0.08,0.42,0,0.53
509,Altaria 2,Altaria,2,Bold,Leftovers,Perish Song,DragonBreath,Pursuit,Attract,Perish Song DEF,DragonBreath ATK,Pursuit ATK,Attract SPT,Natural Cure,196,100,0.3,0.2,0.5,0.32,0.58,0.1,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.3,0.2,0.5,0.32,0.58,0.1
510,Nidoqueen 2,Nidoqueen,2,Adamant,Shell Bell,Double-Edge,Earthquake,Aerial Ace,Rock Slide,Double-Edge ATK,Earthquake ATK,Aerial Ace ATK,Rock Slide ATK,Poison Point,188,96,0.38,0.31,0.31,0.7,0.15,0.15,1,4,0,0,0,0,0,1,0.31,0,0.31,0.15,0,0.15,0.38,0,0,0.7,0,0
511,Nidoking 2,Nidoking,2,Adamant,Shell Bell,Mega Kick,Earthquake,Shadow Ball,Brick Break,Mega Kick ATK,Earthquake ATK,Shadow Ball ATK,Brick Break ATK,Poison Point,206,105,0.38,0.31,0.31,0.7,0.15,0.15,1,4,0,0,0,0,0,1,0.31,0,0.31,0.15,0,0.15,0.38,0,0,0.7,0,0
512,Magmar 2,Magmar,2,Modest,Quick Claw,Fire Blast,SmokeScreen,ThunderPunch,Confuse Ray,Fire Blast ATK,SmokeScreen SPT,ThunderPunch ATK,Confuse Ray SPT,Flame Body,285,145,0.35,0.45,0.2,0.34,0.6,0.06,1,2,0,0,1,2,0,2,0.225,0,0.225,0.3,0,0.3,0.35,0,0.2,0.34,0,0.06
513,Cradily 2,Cradily,2,Adamant,Sitrus Berry,Earthquake,AncientPower,Swagger,Psych Up,Earthquake ATK,AncientPower ATK,Swagger SPT,Psych Up SPT,Suction Cups,122,63,0.38,0.31,0.31,0.7,0.15,0.15,1,2,0,0,1,2,0,2,0.155,0,0.155,0.075,0,0.075,0.38,0,0.31,0.7,0,0.15
514,Armaldo 2,Armaldo,2,Adamant,Quick Claw,Iron Tail,AncientPower,Brick Break,Knock Off,Iron Tail ATK,AncientPower ATK,Brick Break ATK,Knock Off ATK,Battle Armor,126,65,0.38,0.31,0.31,0.7,0.15,0.15,1,4,0,0,0,0,0,1,0.31,0,0.31,0.15,0,0.15,0.38,0,0,0.7,0,0
515,Golduck 2,Golduck,2,Quirky,Lum Berry,Cross Chop,Surf,Swagger,Psych Up,Cross Chop ATK,Surf ATK,Swagger SPT,Psych Up SPT,Damp / Cloud Nine,248,126,0.56,0.22,0.22,0.56,0.22,0.22,1,2,0,0,1,2,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
516,Rapidash 2,Rapidash,2,Docile,Leftovers,Fire Blast,Bounce,Double Team,Attract,Fire Blast ATK,Bounce ATK,Double Team DEF,Attract SPT,Run Away / Flash Fire,288,146,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
517,Muk 2,Muk,2,Hardy,Chesto Berry,Curse,Rest,Sludge Bomb,DynamicPunch,Curse SPT,Rest DEF,Sludge Bomb ATK,DynamicPunch ATK,Stench / Sticky Hold,136,70,0.61,0.07,0.32,0.61,0.07,0.32,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.61,0.07,0.32,0.61,0.07,0.32
